fn,firstSentence,basedOn,code
Indobit-A-NYT1980_1-500-248.txt,"Strother Martin, the actor who played grizzled sourdoughs in 30 years of westerns and who was perhaps best known as the prison warden in ''Cool Hand Luke'' in 1967, died after suffering a heart attack early today, the Ventura County deputy coroner said.",actor," 150
"
Indobit-A-NYT1986_1001-1500-290.txt,"Le Duan, the head of the Vietnamese Communist Party and one of the architects of victory in the Vietnam War, died today in Hanoi.",architect," 001
"
Indobit-A-NYT1986_1001-1500-290.txt,"Le Duan, the head of the Vietnamese Communist Party and one of the architects of victory in the Vietnam War, died today in Hanoi.",architects," 001
"
Indobit-A-NYT1982_1001-1500-59.txt,"John James O'Connell 3d, executive editor of the Hearst Newspapers and director of the Hearst Feature Service, died of cancer yesterday at Stamford Hospital in Connecticut.",director," 150, 159
"
Indobit-A-NYT1981 - April 1 - June 30-11.txt,"-Mikhail A. Leontovich, a leading nuclear physicist, has died at the age of 78 after a long illness, the Soviet press agency Tass reported today.",physicist," 023
"
Indobit-A-NYT1981 - July 1 - Sep 30-379.txt,"James Scott Kemper, who built one of the nation's largest diversified insurance and financial companies, died yesterday at the age of 94, the company announced today.",divers," 349, 899
"
Indobit-A-NYT1981 - July 1 - Sep 30-379.txt,"James Scott Kemper, who built one of the nation's largest diversified insurance and financial companies, died yesterday at the age of 94, the company announced today.",diver," 349, 899
"
Indobit-A-NYT1981 - July 1 - Sep 30-394.txt,"82 By PETER KIHSS Gregory Breit, a physicist who was active in the early development of nuclear weapons and whose responsibilities included calculating whether a chain reaction might set off a global explosion, died of cancer on Sept. 13 in Salem, Ore., where he had retired.",physicist," 023
"
Indobit-A-NYT1981 - Jan 1 - March 31-264.txt,"Silas F. (Si) Seadler, for 40 years Eastern advertising manager for Metro-Goldwyn-Mayer Pictures, died Feb. 19 in Poconos Hospital in Stroudsburg, Pa.",advertising manager," 164
"
Indobit-A-NYT1981 - Jan 1 - March 31-375.txt,"Jesse R. Liscomb, a retired track and field coach and administrator who coached three Olympic gold medalists, died Wednesday at his home in the Bronx of a heart ailment.",track,KZ-Forms of Music
Indobit-A-NYT1983 - Jan 1 - March 31-421.txt,"Frank S. Baker, a former vice president and general manager of The Yonkers Herald Statesman, died Monday at Yonkers General Hospital.",general manager," 189
"
Indobit-A-NYT1981 - Jan 1 - March 31-156.txt,"Msgr. J. Jerome Reddy, the director of Catholic Charities for the Diocese of Brooklyn from 1930 until 1959, died Thursday at the rectory of St. Jude's Church in Tuquesta, Fla., where he had served as associate priest since 1966.",director," 150, 159
"
Indobit-A-NYT1981 - Jan 1 - March 31-298.txt,"Charles E. Brown 3d, a private investment counselor and lawyer, died Saturday at his home in Kent, Conn.",lawyer," 110–111
"
Indobit-A-NYT1985 - April 1 - June 30-183.txt,"James Vincent Hayes, a trial lawyer specializing in antitrust matters and a past president of the New York County Lawyers Association, died Saturday at his home on the Upper East Side of Manhattan after a long illness.",lawyer," 110–111
"
Indobit-A-NYT1982_1-500-60.txt,"Charles T. Douds, who served as New York regional director for the National Labor Relations Board from 1942 to 1957, died Sunday at Holy Spirit Hospital in Camp Hill, Pa., where he lived.",director," 150, 159
"
Indobit-A-NYT1983 - Oct 1 - Dec 31-245.txt,"Michael Conrad, the actor who won two Emmys for his portrayal of the tough, paternal Sgt.",actor," 150
"
Indobit-A-NYT1987 - April 1 - June 30-226.txt,"David Katz, who founded the Queens Symphony Orchestra in 1953 and oversaw its growth from an amateur civic group to a fully professional, 80-member ensemble, died of cancer Wednesday at his home in Forest Hills, Queens.",Orchestra,KZ-Group
Indobit-A-NYT1987 - April 1 - June 30-226.txt,"David Katz, who founded the Queens Symphony Orchestra in 1953 and oversaw its growth from an amateur civic group to a fully professional, 80-member ensemble, died of cancer Wednesday at his home in Forest Hills, Queens.",Symphony,KZ-Group
Indobit-A-NYT1981 - July 1 - Sep 30-148.txt,"Bianca Saroya, an opera soprano until her retirement from the stage in the 1940's, died yesterday.",soprano,KZ-Instrument
Indobit-A-NYT1981 - July 1 - Sep 30-148.txt,"Bianca Saroya, an opera soprano until her retirement from the stage in the 1940's, died yesterday.",opera,KZ-Forms of Music
Indobit-A-NYT1980_1-500-40.txt,"Milburn Stone, a character actor who made his fortune as the irascible Doc Adams in the long-running television series ''Gunsmoke,'' died of heart failure yesterday at Scripps Memorial Hospital in La Jolla, Calif.",actor," 150
"
Indobit-A-NYT1984_1001-1500-116.txt,"Rear Adm. Bruce E. Bradley Sr., retired, a former deputy surgeon general of the Navy Medical Corps, died Wednesday at the Baylor University Medical Center in Dallas.",surgeon," 070
"
Indobit-A-NYT1984_501-1000-448.txt,"Richard Deacon, an actor whose comically pompous roles included Lumpy Rutherford's father in the television series ''Leave It to Beaver'' and the overbearing producer Mel Cooley in ''The Dick Van Dyke Show,'' died here Wednesday.",producer," 159, 187, 962
"
Indobit-A-NYT1984_501-1000-448.txt,"Richard Deacon, an actor whose comically pompous roles included Lumpy Rutherford's father in the television series ''Leave It to Beaver'' and the overbearing producer Mel Cooley in ''The Dick Van Dyke Show,'' died here Wednesday.",actor," 150
"
Indobit-A-NYT1986_1001-1500-361.txt,"Charles Ward, a leading dancer with American Ballet Theater and a member of the original cast of the Broadway musical ''Dancin,' '' died July 11 at his home in Downey, Calif. Mr. Ward, who was 33 years old, had been suffering from acquired immune deficiency syndrome.",dancer," 151
"
Indobit-A-NYT1986_1001-1500-361.txt,"Charles Ward, a leading dancer with American Ballet Theater and a member of the original cast of the Broadway musical ''Dancin,' '' died July 11 at his home in Downey, Calif. Mr. Ward, who was 33 years old, had been suffering from acquired immune deficiency syndrome.",musical,KZ-Forms of Music
Indobit-A-NYT1983 - Oct 1 - Dec 31-239.txt,"Dr. Allison Davis, a psychologist and social anthropologist who wrote on the black experience and black leaders in America, died yesterday at Michael Reese Hospital in Chicago.",psychologist," 045
"
Indobit-A-NYT1983 - Oct 1 - Dec 31-239.txt,"Dr. Allison Davis, a psychologist and social anthropologist who wrote on the black experience and black leaders in America, died yesterday at Michael Reese Hospital in Chicago.",anthropologist," 055
"
Indobit-A-NYT1980_501-904-45.txt,"J. Daniel Weitzman, a Suffolk Country art collector, land investor and developer, died of cancer Sunday in the Southampton Hospital on Long Island.",country,KZ-Genre
Indobit-A-NYT1981 - Jan 1 - March 31-307.txt,"James E. Madden, an investment banker and member of the treasurer's office of the Metropolitan Life Insurance Company in New York, died last Thursday of a heart attack at Sharon (Conn.) Hospital.",investment banker," 020
"
Indobit-A-NYT1983 - April 1 - June 30-246.txt,"Whitney North Seymour Sr., a prominent New York trial lawyer for more than half a century, a member of the Administration of President Herbert Hoover and the 84th president of the American Bar Association, died of cancer yesterday at St. Luke's Hospital.",lawyer," 110–111
"
Indobit-A-NYT1981 - July 1 - Sep 30-228.txt,"Arthur W. Keylor, a former vice president in charge of Time Inc.'s magazine group, died yesterday, apparently of a heart attack, at the Ekwanok Country Club near his summer home outside Manchester, Vt.",country,KZ-Genre
Indobit-A-NYT1987 - April 1 - June 30-85.txt,"Antony Tudor, one of the foremost choreographers of the century and widely considered the master of the psychological ballet, died last night of a heart attack at his home in Manhattan.",choreographer," 962
"
Indobit-A-NYT1987 - April 1 - June 30-85.txt,"Antony Tudor, one of the foremost choreographers of the century and widely considered the master of the psychological ballet, died last night of a heart attack at his home in Manhattan.",choreographers," 962
"
Indobit-A-NYT1983 - Jan 1 - March 31-232.txt,"Five days after his 100th birthday was celebrated with gala performances of his music, Eubie Blake, the composer and pianist whose career covered a span from the ragtime era in the 19th century to the contemporary Broadway theater a year ago, died yesterday at his home in Brooklyn.",composer," 152
"
Indobit-A-NYT1983 - Oct 1 - Dec 31-124.txt,"Jean Lenauer, Films Figure;Showed Early French Movies Jean H. Lenauer, a film maker and exhibitor who helped to introduce American audiences to French movies in the 1930's and served as technical director of the Museum of Modern Art's film department from 1969 to 1972, died Sunday in his New York apartment of a cerebral hemorrhage.",director," 150, 159
"
Indobit-A-NYT1985 - July 1 - Sep 30-129.txt,"Meyer Michael Hutner, a publicity director for most of the major movie studios, died of a heart attack yesterday at Mount Sinai Hospital.",director," 150, 159
"
Indobit-A-NYT1985 - July 1 - Sep 30-102.txt,"Thomas D. Nunheimer, a research microbiologist involved in the early production of penicillin and other antibiotics, died of a heart attack Thursday at Morristown (N.J.) Memorial Hospital.",microbiologist," 041, 078
"
Indobit-A-NYT1985 - July 1 - Sep 30-102.txt,"Thomas D. Nunheimer, a research microbiologist involved in the early production of penicillin and other antibiotics, died of a heart attack Thursday at Morristown (N.J.) Memorial Hospital.",biologist," 041
"
Indobit-A-NYT1983 - July 1 - Sep 30-302.txt,"Maurice R. Valente, an investment banker, former president of the RCA Corporation and a longtime executive with the International Telephone and Telegraph Corporation, died last Saturday while on vacation in Rome.",investment banker," 020
"
Indobit-A-NYT1986_501-1000-467.txt,"Dr. Leo Goldberg, director emeritus of urology at Queens Hospital Center, Creedmore State Hospital and Jamaica Hospital, died of a heart attack Saturday at Scripps Clinic in La Jolla, Calif.",director," 150, 159
"
Indobit-A-NYT1983 - Oct 1 - Dec 31-32.txt,"Martin F. Herz, director of Georgetown University's Institute for the Study of Diplomacy and former American Ambassador to Bulgaria, died of cancer today at Georgetown University Hospital.",director," 150, 159
"
Indobit-A-NYT1980_1-500-406.txt,"Max R. Morgenthaler, a Swiss chemist known as the ''father of Nescafe'' instant coffee, died Monday at his home near here.",chemist," 022
"
Indobit-A-NYT1985 - April 1 - June 30-218.txt,"Dr. Vincent DePaul Larkin, a pediatrician and director of special projects at Methodist Hospital in Brooklyn, died of cancer Monday at the hospital.",director," 150, 159
"
Indobit-A-NYT1982_1-500-148.txt,"Richard L. Jones Jr., president and board chairman of The Tulsa Tribune and a former vice president of The Associated Press board of directors, died Wednesday at St. Francis Hospital after suffering from cancer for months.",director," 150, 159
"
Indobit-A-NYT1982_1-500-148.txt,"Richard L. Jones Jr., president and board chairman of The Tulsa Tribune and a former vice president of The Associated Press board of directors, died Wednesday at St. Francis Hospital after suffering from cancer for months.",directors," 150, 159
"
Indobit-A-NYT1984_1001-1500-488.txt,"David McLain, artistic director of the Cincinnati/New Orleans City Ballet and head of the dance division of the University of Cincinnati College Conservatory of Music, died of cancer in Cincinnati yesterday.",artist," 141, 144
"
Indobit-A-NYT1984_1001-1500-488.txt,"David McLain, artistic director of the Cincinnati/New Orleans City Ballet and head of the dance division of the University of Cincinnati College Conservatory of Music, died of cancer in Cincinnati yesterday.",director," 150, 159
"
Indobit-A-NYT1986_1001-1500-18.txt,"J. Allen Hynek, an astrophysicist and consultant to an Air Force project to assess reports of unidentified flying objects, died of a malignant brain tumor Sunday at Memorial Hospital in Scottsdale, Ariz.",physicist," 023
"
Indobit-A-NYT1982_1-500-318.txt,"Dr. Kenneth H. Kingdon, retired assistant director of the General Electric Company's research laboratory and a leader in the development of atomic energy, died Tuesday at the Silver Haven Nursing Home in Schenectady, N.Y.",director," 150, 159
"
Indobit-A-NYT1980_501-904-329.txt,"David Gingold, former vice president of the International Ladies Garment Workers Union and for many years director of its Northeast department, died Monday at St. Vincent's Hospital in Manhattan.",director," 150, 159
"
Indobit-A-NYT1985 - July 1 - Sep 30-125.txt,"Dr. Roger T. Lennon, a psychologist who was a former executive of Harcourt Brace Jovanovich and chairman of the Psychological Corporation, died of cancer July 15 at his home in Briarcliff Manor, N.Y.",psychologist," 045
"
Indobit-A-NYT1985 - April 1 - June 30-111.txt,"RIVERSIDE, Calif. Arthur Arthur, a Canadian-born writer and producer known professionally as Art Arthur, died Tuesday at Riverside Community Hospital, his family said.",producer," 159, 187, 962
"
