term,code(s)
dinkey engine mechanic,occ2000-714
engine mechanic,occ2000-714
experimental mechanic,occ2000-714
flight test mechanic,occ2000-714
flight test shop mechanic,occ2000-714
hydraulic mechanic,occ2000-714
ignition mechanic,occ2000-714
jet mechanic,occ2000-714
landing gear mechanic,occ2000-714
launching pad mechanic,occ2000-714
missile mechanic,occ2000-714
motor mechanic,occ2000-714
plastics bench mechanic,occ2000-714
pre flight mechanic,occ2000-714
propeller mechanic,occ2000-714
radiator mechanic,occ2000-714
rocket engine mechanic,occ2000-714
supercharger mechanic,occ2000-714
vehicle mechanic,occ2000-714
metal fabricator ,occ2000-714
power plant installer,occ2000-714
aircraft body repairer,occ2000-714
aviation support equipment repairer,occ2000-714
rotor blade installer,occ2000-714
aircraft steel fabricator,occ2000-714
airframe technician,occ2000-714
service technician,occ2000-714
test stand operator,occ2000-714
trouble shooter ,occ2000-714
vacuum system tester,occ2000-714
x ray examiner of aircraft,occ2000-714
auto body builder apprentice,occ2000-715
auto body mechanic apprentice,occ2000-715
body and fender mechanic apprentice,occ2000-715
body builder apprentice,occ2000-715
body mechanic apprentice,occ2000-715
fender mechanic apprentice,occ2000-715
painter and body mechanic apprentice,occ2000-715
truck body builder apprentice,occ2000-715
auto body customizer,occ2000-715
auto body straightener,occ2000-715
auto body worker,occ2000-715
auto bumper straightener,occ2000-715
auto rebuilder,occ2000-715
auto refinisher,occ2000-715
auto seat cover installer,occ2000-715
auto slip cover installer,occ2000-715
auto spring work,occ2000-715
body work auto trimmer,occ2000-715
auto vinyl top installer,occ2000-715
automotive metalsmith,occ2000-715
body and fender worker,occ2000-715
body bumper,occ2000-715
body painter,occ2000-715
body sander,occ2000-715
body shop worker,occ2000-715
body specialist,occ2000-715
body straightener,occ2000-715
body worker,occ2000-715
bumper,occ2000-715
bumper and painter,occ2000-715
bumper straightener,occ2000-715
car refinisher,occ2000-715
collision worker,occ2000-715
auto customize painter,occ2000-715
dent work,occ2000-715
dinger,occ2000-715
fender and body work,occ2000-715
fender work,occ2000-715
body shop floorperson,occ2000-715
frame straightener,occ2000-715
auto body mechanic,occ2000-715
auto bumper mechanic,occ2000-715
body mechanic,occ2000-715
body and fender mechanic,occ2000-715
car body mechanic,occ2000-715
collision mechanic,occ2000-715
fender mechanic,occ2000-715
trim mechanic,occ2000-715
metal bumper,occ2000-715
metal worker,occ2000-715
painter and body work,occ2000-715
antique automobiles repairer,occ2000-715
auto body repairer,occ2000-715
fender repairer,occ2000-715
truck body builder,occ2000-715
truck body repairer,occ2000-715
auto glass installer,occ2000-716
glass fitter,occ2000-716
glass installer,occ2000-716
glass setter,occ2000-716
auto glass mechanic,occ2000-716
window installer,occ2000-716
windshield installer,occ2000-716
aerial installer,occ2000-720
auto air conditioning installer,occ2000-720
air conditioning specialist,occ2000-720
alignment specialist,occ2000-720
antenna installer,occ2000-720
antenna specialist,occ2000-720
apprentice ,occ2000-720
auto mechanic apprentice,occ2000-720
mechanic apprentice,occ2000-720
auto accessories installer,occ2000-720
auto radiator specialist,occ2000-720
auto rebuilder,occ2000-720
auto wheel alignment specialist,occ2000-720
automotive accessory installer,occ2000-720
body wirer,occ2000-720
brake adjuster,occ2000-720
brake liner,occ2000-720
brake reliner,occ2000-720
brake shoe rebuilder,occ2000-720
brake specialist,occ2000-720
brakeman ,occ2000-720
carburetor expert,occ2000-720
carburetor rebuilder,occ2000-720
carburetor specialist,occ2000-720
chassis wirer,occ2000-720
clutch rebuilder,occ2000-720
clutch specialist,occ2000-720
autos disassembler,occ2000-720
automotive engineer,occ2000-720
experimental man,occ2000-720
spring floor service worker,occ2000-720
frameman,occ2000-720
front end alignment specialist,occ2000-720
front end specialist,occ2000-720
fuel injection servicer,occ2000-720
gear changer,occ2000-720
headlight adjuster,occ2000-720
heater installer,occ2000-720
hydramatic specialist,occ2000-720
hydraulic specialist,occ2000-720
ignition expert,occ2000-720
ignition specialist,occ2000-720
muffler installer,occ2000-720
light adjuster,occ2000-720
magneto specialist,occ2000-720
maintenance electrician,occ2000-720
mechanic ,occ2000-720
air conditioning mechanic,occ2000-720
ambulance mechanic,occ2000-720
auto air conditioning mechanic,occ2000-720
auto radiator mechanic,occ2000-720
automatic transmission mechanic,occ2000-720
automotive mechanic,occ2000-720
block mechanic,occ2000-720
car mechanic,occ2000-720
carburetor mechanic,occ2000-720
chassis mechanic,occ2000-720
clutch mechanic,occ2000-720
cylinder block mechanic,occ2000-720
engine mechanic,occ2000-720
experimental mechanic,occ2000-720
front end mechanic,occ2000-720
hydramatic mechanic,occ2000-720
hydraulic mechanic,occ2000-720
ignition mechanic,occ2000-720
line mechanic,occ2000-720
make ready mechanic,occ2000-720
motor mechanic,occ2000-720
motor block mechanic,occ2000-720
muffler mechanic,occ2000-720
new car make ready mechanic,occ2000-720
radiator mechanic,occ2000-720
speedometer mechanic,occ2000-720
used car make ready mechanic,occ2000-720
vehicle mechanic,occ2000-720
wheel alignment mechanic,occ2000-720
motor adjuster,occ2000-720
motor analyst,occ2000-720
motor electrician,occ2000-720
motor expert,occ2000-720
motor tester,occ2000-720
motor tune up specialist,occ2000-720
muffler installer,occ2000-720
mechanical new car make ready worker,occ2000-720
overhauler ,occ2000-720
auto overhauler,occ2000-720
parts department service,occ2000-720
power brake rebuilder,occ2000-720
radiator cleaner,occ2000-720
radiator specialist,occ2000-720
radiator tester,occ2000-720
radio aerial installer,occ2000-720
radio antenna installer,occ2000-720
radio installer,occ2000-720
reconditioner,occ2000-720
remote control mirror installer,occ2000-720
brake repairer,occ2000-720
instrument repairer,occ2000-720
propulsion motor and generator repairer,occ2000-720
safety belt installer,occ2000-720
service counselor,occ2000-720
tear down man,occ2000-720
service technician,occ2000-720
transmission rebuilder,occ2000-720
transmission specialist,occ2000-720
trouble shooter ,occ2000-720
mechanical used car make ready worker,occ2000-720
vehicle fuel systems converter,occ2000-720
wheel adjuster,occ2000-720
wheel aligner,occ2000-720
wheel tuner,occ2000-720
wheelwright,occ2000-720
diesel mechanic apprentice,occ2000-721
tractor mechanic apprentice,occ2000-721
truck mechanic apprentice,occ2000-721
diesel engine erector,occ2000-721
diesel engine fitter,occ2000-721
boat engines installer,occ2000-721
machinist \ any other activity or n.s.,occ2000-721
diesel machinist,occ2000-721
marine engine machinist,occ2000-721
mechanic ,occ2000-721
boat \ any not listed mechanic,occ2000-721
bus mechanic,occ2000-721
diesel mechanic,occ2000-721
engine mechanic,occ2000-721
fleet mechanic,occ2000-721
industrial truck mechanic,occ2000-721
locomotive mechanic,occ2000-721
marine engine mechanic,occ2000-721
motor mechanic,occ2000-721
ordnance truck installation mechanic,occ2000-721
school bus mechanic,occ2000-721
tank truck engine mechanic,occ2000-721
tractor trailer mechanic,occ2000-721
trailer mechanic,occ2000-721
truck mechanic,occ2000-721
truck trailer mechanic,occ2000-721
vehicle mechanic,occ2000-721
heavy repairer,occ2000-721
tractor expert,occ2000-721
air brake adjuster,occ2000-722
air brake man,occ2000-722
air brake rigger,occ2000-722
airman,occ2000-722
car repairer apprentice,occ2000-722
farm equipment  mechanic apprentice,occ2000-722
locomotive mechanic apprentice,occ2000-722
truck mechanic apprentice,occ2000-722
truck mechanic apprentice,occ2000-722
farm equipment assembler,occ2000-722
farm machinery assembler,occ2000-722
brake adjuster,occ2000-722
brake liner,occ2000-722
brake reliner,occ2000-722
brake shoe rebuilder,occ2000-722
brake specialist,occ2000-722
car builder,occ2000-722
carman,occ2000-722
dairy equipment installer,occ2000-722
donkey doctor,occ2000-722
drop pit worker,occ2000-722
farm machinery erector,occ2000-722
farm machinery set up,occ2000-722
fitter ,occ2000-722
freight car builder,occ2000-722
gearman,occ2000-722
greaser,occ2000-722
electric milkers installer,occ2000-722
milking system installer,occ2000-722
interlocker maintainer,occ2000-722
irrigation equipment installer,occ2000-722
irrigation pump installer,occ2000-722
machine maintenance,occ2000-722
machine maintenance,occ2000-722
machine overhauler,occ2000-722
machine overhauler,occ2000-722
mechanic ,occ2000-722
mechanic ,occ2000-722
mechanic ,occ2000-722
air brake mechanic,occ2000-722
air compressor mechanic,occ2000-722
air valve mechanic,occ2000-722
breaker mechanic,occ2000-722
bulldozer mechanic,occ2000-722
car mechanic,occ2000-722
cat mechanic,occ2000-722
caterpillar mechanic,occ2000-722
clutch mechanic,occ2000-722
coach mechanic,occ2000-722
combine mechanic,occ2000-722
compressor mechanic,occ2000-722
construction equipment mechanic,occ2000-722
controller mechanic,occ2000-722
crane mechanic,occ2000-722
donkey mechanic,occ2000-722
dragline mechanic,occ2000-722
drop hammer mechanic,occ2000-722
endless track vehicle mechanic,occ2000-722
equipment mechanic,occ2000-722
equipment mechanic,occ2000-722
fork lift mechanic,occ2000-722
garage const. equipment mechanic,occ2000-722
hoist mechanic,occ2000-722
hydraulic mechanic,occ2000-722
hydraulic auto jack mechanic,occ2000-722
hydraulic jack mechanic,occ2000-722
hydro mechanic,occ2000-722
implement mechanic,occ2000-722
interlocking and signal mechanic,occ2000-722
irrigation equipment mechanic,occ2000-722
lift truck mechanic,occ2000-722
link trainer mechanic,occ2000-722
logging equipment mechanic,occ2000-722
machine or machinery mechanic,occ2000-722
machine or machinery mechanic,occ2000-722
machine or machinery mechanic,occ2000-722
maintenance mechanic,occ2000-722
maintenance mechanic,occ2000-722
milking machine mechanic,occ2000-722
mine car mechanic,occ2000-722
mobile equipment mechanic,occ2000-722
pea viner mechanic,occ2000-722
plow mechanic,occ2000-722
power shovel mechanic,occ2000-722
rice dryer mechanic,occ2000-722
rigging loft mechanic,occ2000-722
shovel mechanic,occ2000-722
ski lift mechanic,occ2000-722
sprinkler irrigation equipment mechanic,occ2000-722
street car mechanic,occ2000-722
tank car mechanic,occ2000-722
tipple mechanic,occ2000-722
triple valve mechanic,occ2000-722
trolley car mechanic,occ2000-722
truck mechanic,occ2000-722
valve mechanic,occ2000-722
const. equipment overhauler,occ2000-722
air valve repairer,occ2000-722
dairy equipment repairer,occ2000-722
mechanical unit repairer,occ2000-722
pullman car repairer,occ2000-722
rail car repairer,occ2000-722
streetcar repairer,occ2000-722
subway car repairer,occ2000-722
valve repairer,occ2000-722
roundhouse worker,occ2000-722
set up worker,occ2000-722
signal constructor,occ2000-722
signal fitter,occ2000-722
tank car reconditioner,occ2000-722
test rack operator,occ2000-722
triple valve tester,occ2000-722
trolley car overhauler,occ2000-722
trouble shooter ,occ2000-722
trucksmith,occ2000-722
trucksmith,occ2000-722
motorcycle mechanic apprentice,occ2000-724
chain saw mechanic,occ2000-724
engine mechanic,occ2000-724
garden equipment mechanic,occ2000-724
garden implement mechanic,occ2000-724
garden machinery mechanic,occ2000-724
gas engine mechanic,occ2000-724
jet-ski mechanic,occ2000-724
lawn mower mechanic,occ2000-724
model engine mechanic,occ2000-724
motor bike mechanic,occ2000-724
motor scooter mechanic,occ2000-724
motorboat mechanic,occ2000-724
motorcycle mechanic,occ2000-724
outboard motor mechanic,occ2000-724
power saw mechanic,occ2000-724
scooter mechanic,occ2000-724
small engine mechanic,occ2000-724
snowmobile mechanic,occ2000-724
vehicle mechanic,occ2000-724
vehicle mechanic,occ2000-724
outboard motor tester,occ2000-724
engine service repairer,occ2000-724
gas engine repairer,occ2000-724
lawn mower repairer,occ2000-724
motorcycle repairer,occ2000-724
motorcycle subassembly repairer,occ2000-724
small engine specialist,occ2000-724
auto tire worker,occ2000-726
bicycle mechanic,occ2000-726
recreational vehicle mechanic,occ2000-726
tire mechanic,occ2000-726
r.v. servicer,occ2000-726
