fn,clause
Indobit-A-NYT1987 - Jan 1 - March 31-254.txt," a versatile leading man who later specialized in playing the quiet-talking, fast-drawing hero of westerns"
Indobit-A-NYT1982_1-500-443.txt, who resigned from the Supreme Court in 1969
Indobit-A-NYT1983 - July 1 - Sep 30-322.txt, a New England textile manufacturer who was prominent in Hebrew education
Indobit-A-NYT1981 - Jan 1 - March 31-167.txt, who brought mass airline travel to the world with his prewar DC-3
Indobit-A-NYT1982_1001-1500-251.txt, a member of the New Jersey Board of Higher Education and a former member of the Republican National Committee
Indobit-A-NYT1983 - Jan 1 - March 31-453.txt, the Harvard-educated scion of a family of bankers and industrialists who gave away a fortune and lived a life of austerity and radical politics
Indobit-A-NYT1982_1001-1500-214.txt, who practiced internal medicine in New York City from 1936 until last April
Indobit-A-NYT1983 - Oct 1 - Dec 31-396.txt,
Indobit-A-NYT1980_1-500-272.txt," N.Y., an accountant and former associate of the multimillionaire Vincent Astor"
Indobit-A-NYT1982_501-1000-494.txt," Mich. Prof. Howard Y. McClusky, who devoted much of his career to research on aging and served in White House conferences on the subject"
Indobit-A-NYT1983 - April 1 - June 30-207.txt, one of the Soviet Union's leading designers of aircraft engines
Indobit-A-NYT1983 - Jan 1 - March 31-429.txt," an international literary agent who represented many American authors, agents and publishers"
Indobit-A-NYT1985 - Oct 1 - Dec 31-88.txt, a dominant figure in the civil rights movement in South Carolina and the state's first black State Senator since 1888
Indobit-A-NYT1980_501-904-247.txt, a print and broadcast jour nalist for 40 years
Indobit-A-NYT1985 - July 1 - Sep 30-18.txt," retired, who was one of the first women sent abroad as an officer in World War II"
Indobit-A-NYT1984_1-500-419.txt, an authority on the hazards of contraception and pregnancy
Indobit-A-NYT1981 - Oct 1 - Dec 31-389.txt, the Academy Award-winning cinematographer who did the camera work in the 1925 version of ''Ben Hur'' and filmed all of Mary Pickford's movies
Indobit-A-NYT1980_1-500-486.txt,
Indobit-A-NYT1984_1-500-157.txt, known to Britons as the world's greatest fox hunter
Indobit-A-NYT1983 - July 1 - Sep 30-364.txt, who wrote the column ''Minority Report'' for The Miami Herald
Indobit-A-NYT1982_1001-1500-295.txt, a maverick Democratic Assemblyman from the West Side from 1951 through 1967
Indobit-A-NYT1983 - Jan 1 - March 31-139.txt,
Indobit-A-NYT1983 - April 1 - June 30-33.txt," who had operated two successful East Side restaurants, Cafe Chauveron and Cafe Chambord"
Indobit-A-NYT1980_501-904-381.txt," Md., public affairs officer for space science in the National Aeronautics and Space Administration"
Indobit-A-NYT1983 - April 1 - June 30-112.txt,
Indobit-A-NYT1983 - Oct 1 - Dec 31-153.txt,
Indobit-A-NYT1987 - April 1 - June 30-208.txt, who served as Cuyahoga County coroner for 50 years until his retirement five months ago
Indobit-A-NYT1983 - July 1 - Sep 30-317.txt, 73
Indobit-A-NYT1986_1001-1500-169.txt, one of five men who committed a $3 million dollar robbery at the Pierre Hotel in 1972
Indobit-A-NYT1980_501-904-305.txt, a retired New York City allergist
Indobit-A-NYT1986_1-500-190.txt," whose best-selling ''Dune'' told of a harsh desert planet and its people, the intrigues of an interplanetary empire and a mysterious spice that made a young duke able to see the future"
Indobit-A-NYT1985 - Oct 1 - Dec 31-60.txt,
